1036326;2;11,1,16,15,2,19,5,18,17,3,9,8,13,20
4134088;3;16,3,10,15,12,6,18,5,8,1,4
8941917;3;12,18,11,2,19,6,8,7,5,4,17
3189582;2;3,5,7,8,20,19,1,13,4,11,16,9,10,15
0806804;3;16,8,6,9,13,1,18,3,14,15,7
6940533;2;8,13,7,10,17,11,12,15,5,1,18,20,16,2
5437618;1;16,13,6,3,15,4,10,9,19,20,5,18,8,11
4198315;3;6,4,10,1,2,8,20,16,17,15,12
0736767;2;5,19,6,3,11,8,4,12,14,10,18,20,7,16
1265254;2;13,18,19,16,7,4,10,6,3,9,2,11,20,8
7669351;2;13,10,20,9,3,17,8,16,6,12,1,2,11,7
6989539;2;8,1,2,13,12,14,16,17,5,19,15,3,9,11
8874654;3;19,16,6,12,7,13,4,5,2,14,3
8897047;2;2,13,20,10,1,12,3,18,4,14,6,19,7,9
1420151;1;17,12,4,10,9,11,3,7,5,14,1,8,13,18
2083791;1;8,5,9,15,12,2,20,6,17,3,11,16,19,7
7732650;2;6,18,16,10,5,9,7,15,2,14,17,13,19,20
7432292;1;1,10,13,6,16,14,15,9,8,20,12,11,3,5
2873488;2;16,2,9,18,13,12,1,7,15,17,19,14,20,3
6716971;2;1,15,14,8,12,11,20,16,4,3,17,13,5,19
1519073;2;16,9,5,19,17,12,20,8,3,6,13,18,1,14
7200544;1;7,1,2,3,6,12,10,5,17,9,19,11,16,8
1125040;3;15,5,16,8,13,3,2,12,1,18,10
0040683;2;11,20,15,17,16,2,4,10,18,9,12,1,14,3
4031326;3;6,9,13,8,10,1,19,7,2,18,3
1506740;1;3,19,8,10,11,20,13,6,2,1,4,7,12,5
4775729;1;6,9,19,15,16,10,12,5,8,18,2,13,14,3
3942366;3;2,20,12,3,8,1,16,9,15,11,17
8722681;1;17,4,11,14,20,15,3,18,7,1,8,9,6,10
9829960;1;17,12,20,5,18,16,1,7,10,6,2,14,8,9
6908069;3;2,9,3,19,12,15,20,16,5,11,8
4611551;3;12,14,1,11,18,15,19,20,3,17,10
4620741;3;17,15,12,10,6,9,13,3,1,2,11
5516697;3;2,1,6,11,12,15,4,13,18,7,9
3878255;2;8,20,9,5,2,18,15,4,12,10,16,19,6,13
4967541;1;2,20,18,12,10,8,5,16,7,9,11,17,13,3
5170059;2;11,6,9,20,18,19,10,2,17,12,14,5,13,8
5758942;1;11,4,7,20,13,16,17,12,15,19,2,6,1,9
1803335;3;19,6,14,9,11,10,5,1,12,2,17
5363163;2;12,8,11,6,16,7,14,2,10,13,9,17,5,1
0928899;1;17,18,2,13,12,11,20,19,10,15,5,6,9,14
3988663;1;14,11,6,15,17,20,10,3,16,19,12,8,9,4
3531742;1;11,9,18,20,14,7,1,16,12,15,13,8,4,3
4666515;3;4,8,9,17,15,14,5,1,3,10,19
3918660;2;11,10,14,19,1,17,8,13,6,7,4,5,12,2
4606003;1;14,18,7,12,5,11,19,20,9,1,2,17,16,8
7153728;3;1,8,13,4,18,7,5,20,3,14,10
0440521;3;7,3,20,17,6,14,16,5,18,2,12
1111977;1;9,12,16,14,15,17,5,1,18,3,2,13,19,6
2355616;2;7,5,14,17,13,4,11,15,18,12,1,16,20,9
8718855;1;17,6,3,2,5,15,11,10,20,1,8,14,18,12
1324609;3;4,2,1,18,20,10,17,16,12,8,9
8218132;1;19,20,1,10,2,11,7,4,13,17,12,5,18,8
0238459;1;5,20,11,18,15,7,17,4,6,16,9,3,19,10
4548421;3;15,4,16,20,9,5,13,17,3,10,1
8082128;2;19,20,5,6,1,7,12,3,14,13,18,15,10,9
4212002;3;13,1,17,11,14,19,20,18,8,12,16
8906597;1;11,18,6,4,20,1,9,19,8,3,13,2,15,12
5324445;1;10,3,11,9,5,4,7,20,8,18,2,17,14,13
8687627;3;19,16,10,17,8,9,20,18,11,13,3
5578076;1;12,20,10,19,17,5,8,2,9,15,7,13,16,4
4986841;2;14,20,4,2,16,7,19,11,12,13,15,18,9,10
5861296;3;3,8,4,20,14,13,7,17,5,16,19
4072177;2;2,6,3,8,10,18,7,5,13,12,9,19,20,14
4505546;3;16,2,13,3,15,7,9,12,1,19,18
0325844;1;4,13,11,1,2,12,3,6,18,14,10,19,5,16
5793231;1;11,9,15,20,16,8,2,17,18,10,13,4,3,6
0784321;1;7,19,5,18,15,11,14,17,16,8,6,12,4,2
4972183;1;15,18,10,8,5,19,20,1,6,12,13,7,17,14
9008870;1;10,9,4,19,7,13,14,8,20,3,15,12,11,17
3086870;1;16,7,17,2,10,18,3,20,5,14,19,13,12,4
7056267;3;15,8,16,2,9,12,20,19,18,7,1
5622164;1;20,11,4,6,14,7,18,15,10,19,16,13,5,1
5305392;2;11,6,3,1,20,9,5,15,4,13,8,14,12,7
9921909;2;14,5,7,16,17,2,3,1,4,9,10,8,12,19
2549589;2;12,19,15,18,16,3,5,7,8,13,17,14,4,11
6005294;2;19,10,5,11,20,9,7,12,2,8,16,13,4,1
2571546;3;2,17,20,10,13,5,7,19,18,12,9
5647228;1;9,3,10,12,17,20,13,6,2,8,4,18,11,16
8037130;2;20,17,14,7,9,19,10,1,11,12,4,3,8,2
5033134;1;1,5,4,20,8,9,14,15,10,7,6,13,2,11
4498750;3;5,2,15,4,17,18,7,11,13,16,6
0912202;1;19,10,18,1,5,15,17,3,4,20,16,11,13,14
0695290;2;4,14,16,6,13,5,7,9,15,20,17,3,8,18
6665103;2;5,16,8,17,14,2,13,11,1,4,9,19,12,15
2512656;3;7,6,12,11,18,16,14,1,5,3,15
4083785;2;5,13,10,6,11,14,12,17,4,3,2,15,19,8
2127957;3;13,3,4,2,12,7,17,10,1,19,14
5362306;2;6,12,7,18,5,8,11,9,13,2,14,1,19,4
1719031;1;16,10,15,19,12,3,7,17,2,18,8,14,4,9
2611472;3;14,10,6,19,2,4,11,17,18,1,16
4433839;2;3,17,15,4,14,6,19,9,5,11,8,2,7,16
3773666;3;19,20,7,5,18,9,16,8,6,14,15
8120328;2;5,4,6,13,1,11,18,10,9,20,8,12,14,7
9229231;3;2,6,18,8,14,4,17,5,7,19,10
7241714;3;14,17,12,8,18,3,7,9,4,16,2
5471669;2;2,15,9,17,1,4,7,11,6,3,10,14,12,18
7692863;1;13,18,1,16,19,7,6,4,9,14,11,10,5,12
9096008;1;10,20,5,15,13,16,12,3,7,8,1,4,6,14
6704057;1;19,11,6,5,12,10,2,13,15,18,14,20,7,9
4077788;3;2,17,7,3,6,12,15,4,11,20,5
2745660;1;8,14,20,13,10,5,17,1,6,19,11,7,4,15
7655047;1;9,2,6,12,17,7,10,16,5,20,15,18,13,19
6121938;1;3,8,9,5,18,16,11,19,12,4,13,20,17,6
8482360;3;1,13,7,18,12,19,20,16,8,2,11
4228665;2;3,4,1,18,13,11,2,10,6,5,20,17,7,12
0340536;1;1,12,6,8,13,19,20,11,9,4,10,16,3,7
2452001;1;5,9,19,16,2,6,15,7,8,13,14,10,3,11
9275509;1;19,4,1,3,12,2,10,17,8,13,14,11,20,6
3299031;3;18,9,1,8,5,6,15,4,13,2,17
1044859;2;9,6,11,2,16,17,1,7,14,4,20,12,15,19
8920748;1;18,20,14,8,5,12,2,10,17,15,9,11,16,3
7111218;2;10,12,13,4,15,20,7,16,8,3,19,11,2,17
